Experiment Log:
Shifts: 5, Iterations: 5, Clashes: 0
Shifts: 5, Iterations: 20, Clashes: 2
Shifts: 5, Iterations: 35, Clashes: 16
Shifts: 5, Iterations: 50, Clashes: 32
Shifts: 5, Iterations: 65, Clashes: 18
Shifts: 15, Iterations: 5, Clashes: 20
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 35, Clashes: 0
Shifts: 15, Iterations: 50, Clashes: 0
Shifts: 15, Iterations: 65, Clashes: 0
Shifts: 25, Iterations: 5, Clashes: 0
Shifts: 25, Iterations: 20, Clashes: 0
Shifts: 25, Iterations: 35, Clashes: 0
Shifts: 25, Iterations: 50, Clashes: 0
Shifts: 25, Iterations: 65, Clashes: 0
Shifts: 35, Iterations: 5, Clashes: 0
Shifts: 35, Iterations: 20, Clashes: 0
Shifts: 35, Iterations: 35, Clashes: 0
Shifts: 35, Iterations: 50, Clashes: 0
Shifts: 35, Iterations: 65, Clashes: 0
Shifts: 45, Iterations: 5, Clashes: 0
Shifts: 45, Iterations: 20, Clashes: 0
Shifts: 45, Iterations: 35, Clashes: 0
Shifts: 45, Iterations: 50, Clashes: 0
Shifts: 45, Iterations: 65, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Shifts: 5, Iterations: 5, Clashes: 2
Shifts: 5, Iterations: 20, Clashes: 2
Shifts: 5, Iterations: 35, Clashes: 22
Shifts: 5, Iterations: 50, Clashes: 48
Shifts: 5, Iterations: 65, Clashes: 34
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 35, Clashes: 0
Shifts: 15, Iterations: 50, Clashes: 0
Shifts: 15, Iterations: 65, Clashes: 0
Shifts: 25, Iterations: 5, Clashes: 0
Shifts: 25, Iterations: 20, Clashes: 0
Shifts: 25, Iterations: 35, Clashes: 0
Shifts: 25, Iterations: 50, Clashes: 0
Shifts: 25, Iterations: 65, Clashes: 0
Shifts: 35, Iterations: 5, Clashes: 0
Shifts: 35, Iterations: 20, Clashes: 0
Shifts: 35, Iterations: 35, Clashes: 0
Shifts: 35, Iterations: 50, Clashes: 0
Shifts: 35, Iterations: 65, Clashes: 0
Shifts: 45, Iterations: 5, Clashes: 0
Shifts: 45, Iterations: 20, Clashes: 0
Shifts: 45, Iterations: 35, Clashes: 0
Shifts: 45, Iterations: 50, Clashes: 0
Shifts: 45, Iterations: 65, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Shifts: 5, Iterations: 5, Clashes: 2
Shifts: 5, Iterations: 20, Clashes: 0
Shifts: 5, Iterations: 35, Clashes: 42
Shifts: 5, Iterations: 50, Clashes: 32
Shifts: 5, Iterations: 65, Clashes: 28
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 35, Clashes: 0
Shifts: 15, Iterations: 50, Clashes: 0
Shifts: 15, Iterations: 65, Clashes: 0
Shifts: 25, Iterations: 5, Clashes: 0
Shifts: 25, Iterations: 20, Clashes: 0
Shifts: 25, Iterations: 35, Clashes: 0
Shifts: 25, Iterations: 50, Clashes: 0
Shifts: 25, Iterations: 65, Clashes: 0
Shifts: 35, Iterations: 5, Clashes: 0
Shifts: 35, Iterations: 20, Clashes: 0
Shifts: 35, Iterations: 35, Clashes: 0
Shifts: 35, Iterations: 50, Clashes: 0
Shifts: 35, Iterations: 65, Clashes: 0
Shifts: 45, Iterations: 5, Clashes: 0
Shifts: 45, Iterations: 20, Clashes: 0
Shifts: 45, Iterations: 35, Clashes: 0
Shifts: 45, Iterations: 50, Clashes: 32
Shifts: 45, Iterations: 65, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 5, Minimum Clashes: 0
