Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1270
Shifts: 1, Iterations: 10, Clashes: 90
Shifts: 1, Iterations: 20, Clashes: 108
Shifts: 1, Iterations: 30, Clashes: 160
Shifts: 5, Iterations: 5, Clashes: 64
Shifts: 5, Iterations: 10, Clashes: 24
Shifts: 5, Iterations: 20, Clashes: 28
Shifts: 5, Iterations: 30, Clashes: 34
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 14
Shifts: 10, Iterations: 30, Clashes: 10
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1204
Shifts: 1, Iterations: 10, Clashes: 68
Shifts: 1, Iterations: 20, Clashes: 140
Shifts: 1, Iterations: 30, Clashes: 198
Shifts: 5, Iterations: 5, Clashes: 34
Shifts: 5, Iterations: 10, Clashes: 28
Shifts: 5, Iterations: 20, Clashes: 24
Shifts: 5, Iterations: 30, Clashes: 42
Shifts: 10, Iterations: 5, Clashes: 22
Shifts: 10, Iterations: 10, Clashes: 2
Shifts: 10, Iterations: 20, Clashes: 6
Shifts: 10, Iterations: 30, Clashes: 2
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 30, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1216
Shifts: 1, Iterations: 10, Clashes: 46
Shifts: 1, Iterations: 20, Clashes: 122
Shifts: 1, Iterations: 30, Clashes: 152
Shifts: 5, Iterations: 5, Clashes: 36
Shifts: 5, Iterations: 10, Clashes: 66
Shifts: 5, Iterations: 20, Clashes: 34
Shifts: 5, Iterations: 30, Clashes: 36
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 4
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1160
Shifts: 1, Iterations: 10, Clashes: 80
Shifts: 1, Iterations: 20, Clashes: 100
Shifts: 1, Iterations: 30, Clashes: 156
Shifts: 5, Iterations: 5, Clashes: 18
Shifts: 5, Iterations: 10, Clashes: 10
Shifts: 5, Iterations: 20, Clashes: 20
Shifts: 5, Iterations: 30, Clashes: 4
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 6
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 20, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 0
Shifts: 1, Iterations: 10, Clashes: 0
Shifts: 1, Iterations: 20, Clashes: 0
Shifts: 1, Iterations: 30, Clashes: 0
Shifts: 5, Iterations: 5, Clashes: 0
Shifts: 5, Iterations: 10, Clashes: 0
Shifts: 5, Iterations: 20, Clashes: 0
Shifts: 5, Iterations: 30, Clashes: 0
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
